id_transaction,code_postal,arrondissement,date_transaction,prix,surface_habitable,prix_m2,cluster,anomalie,residu,latitude,longitude
12255101,75007,7,2014-01-06,5000.0,74,67.56756756756756,2,Sous-cote,-901449.4479391589,48.8574897060103,2.3036182864227
12246804,75008,8,2014-01-09,750000.0,9,83333.33333333333,2,Surcote,569682.8266500122,48.8669777501132,2.30358900717247
12267346,75007,7,2014-01-10,4468.0,117,38.18803418803419,2,Sous-cote,-1313965.7575099394,48.8480734576722,2.30932976747706
12270362,75007,7,2014-01-10,38560.93,101,381.79138613861386,3,Sous-cote,-1117291.9826404133,48.8480734576722,2.30932976747706
12248606,75017,17,2014-01-10,172500.0,170,1014.7058823529412,3,Sous-cote,-1429276.7455504783,48.8822597716549,2.31445236120738
12256412,75013,13,2014-01-13,1940000.0,96,20208.333333333332,1,Surcote,1056754.3326518787,48.8376648507632,2.34289409729416
12250182,75017,17,2014-01-13,18400.0,145,126.89655172413794,3,Sous-cote,-1343850.9841721174,48.8819226704774,2.30061922330336
12258575,75003,3,2014-01-15,178000.0,154,1155.844155844156,3,Sous-cote,-1302570.8022240563,48.8682202006128,2.35848466040965
12263887,75016,16,2014-01-15,45000.0,148,304.05405405405406,3,Sous-cote,-1472820.7170848232,48.8524035683708,2.26789305714306
12273941,75007,7,2014-01-15,2850000.0,80,35625.0,2,Surcote,1886064.3693300346,48.8480734576722,2.30932976747706
12258270,75003,3,2014-01-16,62000.0,60,1033.3333333333333,1,Sous-cote,-516199.06366497953,48.8619621115274,2.36488341580732
12273103,75017,17,2014-01-16,45000.0,135,333.3333333333333,3,Sous-cote,-1201117.0886695832,48.8834641741345,2.29716992155579
12259697,75005,5,2014-01-17,993500.0,45,22077.777777777777,0,Surcote,566040.1240106733,48.851445500416,2.34978757776317
12260561,75014,14,2014-01-17,2130000.0,112,19017.85714285714,1,Surcote,1070448.9669086616,48.8297043997949,2.32694701400151
12252803,75007,7,2014-01-24,40000.0,50,800.0,2,Sous-cote,-616181.126064742,48.8548545315963,2.30766383711734
12279370,75019,19,2014-01-28,220000.0,99,2222.222222222222,1,Sous-cote,-657124.7414391902,48.8886904919878,2.37709117916291
12255451,75007,7,2014-01-30,1200000.0,52,23076.923076923078,2,Surcote,504333.22207379877,48.8572563497321,2.32684882480559
12247130,75020,20,2014-01-30,455000.0,165,2757.5757575757575,1,Sous-cote,-1039288.87328583,48.8681492322978,2.38816957427123
12255111,75009,9,2014-01-30,126000.0,171,736.8421052631579,3,Sous-cote,-1526830.6780406078,48.8809073475724,2.34594960683103
12270825,75009,9,2014-01-30,222000.0,79,2810.1265822784812,1,Sous-cote,-547621.0003918,48.8777903496139,2.34454476241649
12277794,75013,13,2014-01-30,11000.0,61,180.327868852459,1,Sous-cote,-496262.41951603553,48.8371281504165,2.35903662359015
12261903,75017,17,2014-01-31,10000.0,91,109.89010989010988,1,Sous-cote,-853444.0547696087,48.8890370042641,2.30352573086725
12268936,75008,8,2014-01-31,13500.0,65,207.69230769230768,2,Sous-cote,-744002.0607398967,48.8734615451201,2.31756866651868
12262931,75017,17,2014-01-31,1047692.0,56,18708.785714285714,1,Surcote,519584.0111600966,48.8908309247528,2.32180251954416
12259272,75004,4,2014-01-31,166040.0,67,2478.208955223881,1,Sous-cote,-498020.87613467546,48.8521374833061,2.36503256384794
12271489,75013,13,2014-02-03,89500.0,68,1316.1764705882354,1,Sous-cote,-484829.63270197646,48.8235691023426,2.36611160683108
12254492,75009,9,2014-02-04,8000.0,74,108.10810810810811,1,Sous-cote,-734039.4390673183,48.8741824458796,2.34294503866375
12260421,75015,15,2014-02-04,10000.0,100,100.0,1,Sous-cote,-949353.3918574927,48.8471903853775,2.28837528378078
12278753,75016,16,2014-02-05,40000.0,103,388.3495145631068,3,Sous-cote,-1026350.7556525832,48.840797745748,2.25657584222522
12269839,75016,16,2014-02-05,13345.0,115,116.04347826086956,3,Sous-cote,-1167978.1211141967,48.8639706029193,2.28983877451219
12278209,75017,17,2014-02-07,4000.0,190,21.05263157894737,3,Sous-cote,-1809720.9456043574,48.8768766793683,2.29401248387585
12268138,75018,18,2014-02-10,307000.0,98,3132.6530612244896,1,Sous-cote,-592071.9349120804,48.8939298887846,2.3376635226521
12257347,75014,14,2014-02-10,374550.0,120,3121.25,1,Sous-cote,-761649.2767324136,48.8286976724177,2.31514592424671
12273709,75004,4,2014-02-10,202500.0,80,2531.25,1,Sous-cote,-565790.6811002328,48.8540474805019,2.35861375747424
12251364,75010,10,2014-02-11,7000.0,58,120.6896551724138,0,Sous-cote,-495952.1691029345,48.872467081236,2.34903524972087
12254981,75015,15,2014-02-12,47200.0,64,737.5,1,Sous-cote,-546912.704521463,48.8369926580557,2.30591804376049
12277218,75006,6,2014-02-13,30000.0,55,545.4545454545455,2,Sous-cote,-568965.4022400184,48.8548114153759,2.3413971407729
12269996,75016,16,2014-02-13,16000.0,110,145.45454545454547,3,Sous-cote,-1117417.9688385245,48.8516831988785,2.27263649312497
12279709,75015,15,2014-02-13,91044.0,79,1152.4556962025317,1,Sous-cote,-646784.1613484793,48.8471378460221,2.3096251424751
12247820,75004,4,2014-02-14,1750000.0,93,18817.204301075268,1,Surcote,816508.741080639,48.8521810443168,2.35706774051731
12246943,75008,8,2014-02-14,12000.0,128,93.75,3,Sous-cote,-1360146.212777181,48.8684852473393,2.32473176489577
12267013,75002,2,2014-02-14,315000.0,138,2282.608695652174,3,Sous-cote,-998441.8642230858,48.8679121510602,2.33591206405055
12269889,75006,6,2014-02-14,5000.0,50,100.0,2,Sous-cote,-546060.2499643462,48.8523588027684,2.33435920725046
12274405,75003,3,2014-02-14,1969600.0,89,22130.337078651686,1,Surcote,1113551.053136122,48.8637955426003,2.36004879111305
12255938,75012,12,2014-02-18,9000.0,106,84.90566037735849,1,Sous-cote,-960469.2524560853,48.8470111729473,2.38109355694891
